"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"119","CL216",160.842952855031,NA,0.000721404,NA,NA,NA,"Simple_repeat","8hits","0.326%","0.033"
"120","CL218",149.983537248943,NA,0.013877237,NA,NA,NA,"Simple_repeat","9hits","1.07%","0.032"
"121","CL219",50.9050013012698,NA,0.051965178,NA,NA,NA,"DNA.hAT.Ac","129hits","21.6%","0.032"
"122","CL220",11.9798576928298,NA,0.035210804,NA,NA,NA,"Simple_repeat","8hits","0.627%","0.032"
"123","CL221",37.9579288584151,24.1792840759921,0.030301711,0.00302824701582813,"98.4153044193875",-0.0070430832343531,"LTR.Gypsy","56hits","8.62%","0.032"
"124","CL222",28.0466777118351,NA,0.072265321,NA,NA,NA,"RC.Helitron","127hits","22.3%","0.032"
"125","CL223",63.8891993102895,NA,0.013404186,NA,NA,NA,"Simple_repeat","22hits","2.01%","0.03"
"126","CL224",80.3607255010639,NA,0.000551192,NA,NA,NA,"Simple_repeat","6hits","0.457%","0.03"
"127","CL228",30.2240359165477,17.083571449202,0.0672041695,0.004558877931549,"57.0237096325026",-0.0121554207017928,"DNA.MULE.MuDR","13hits","1.84%","0.026"
"128","CL230",18.5223574659514,NA,0.079929702,NA,NA,NA,"Simple_repeat","29hits","4.01%","0.025"
"129","CL239",13.7313594032309,NA,0.070824847,NA,NA,NA,"LTR.Copia","321hits","91.8%","0.022"
"130","CL241",32.7480494077535,NA,0.063257723,NA,NA,NA,"Simple_repeat","24hits","3.73%","0.022"
"131","CL243",71.9438721440502,NA,2.7754e-05,NA,NA,NA,"Simple_repeat","1hits","0.0549%","0.021"
"132","CL245",11.006414097815,9.1855685368515,0.0582247935,1.49319738983122e-05,"-27881.8950112811",2.48601173011912e-05,"DNA.PIF.Harbinger","23hits","4.84%","0.021"
"133","CL247",31.4832301192593,NA,0.044793662,NA,NA,NA,"LTR.Gypsy","127hits","38.6%","0.02"
"134","CL253",17.6304813648408,1.18238895792321,0.043427536,0.00282909746197475,"10.3028759545267",-0.0672770577476865,"Simple_repeat","7hits","1.3%","0.018"
"135","CL254",18.7661111831955,NA,0.068742166,NA,NA,NA,"LTR.Copia","212hits","72.5%","0.018"
"136","CL255",17.9067855784801,0.836926671674603,0.057070802,0.00584528830718366,"3.47381222704185",-0.199535016649475,"DNA.hAT.Ac","21hits","5.35%","0.018"
"137","CL256",131.724508798759,NA,0.000430719,NA,NA,NA,"rRNA","259hits","96.8%","0.018"
"138","CL257",58.0310099729021,NA,0.028693841,NA,NA,NA,"Simple_repeat","3hits","0.536%","0.018"
"139","CL260",35.7201197318259,NA,0.035795998,NA,NA,NA,"DNA.CMC.EnSpm","107hits","37.1%","0.017"
"140","CL261",29.3881481692596,22.586784608465,0.0148723675,0.00553166170099008,"67.6235781905712",-0.010250081393306,"Simple_repeat","29hits","4.2%","0.017"
